Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000053310,Nrgn,Gene Expression,0.8546521852340679,0.0,0.0,90553,27.126617952974406,2701
ENSMUSG00000021948,Prkcd,Gene Expression,0.8105170443742193,0.0,0.0,5674,2.377037414934925,962
ENSMUSG00000041607,Mbp,Gene Expression,0.7923609818750265,0.0,0.0,139988,62.78519230765714,2786
ENSMUSG00000070570,Slc17a7,Gene Expression,0.7718084814401149,0.0,0.0,24016,7.610695089235607,2411
ENSMUSG00000035383,Pmch,Gene Expression,0.7702244196688041,0.0,0.0,15192,4.8997164347517606,972
ENSMUSG00000032532,Cck,Gene Expression,0.7603924972075932,0.0,0.0,43276,13.991944104515907,2641
ENSMUSG00000046447,Camk2n1,Gene Expression,0.7550972141472241,0.0,0.0,54708,17.790349764708502,2786
ENSMUSG00000024661,Fth1,Gene Expression,0.7536088815992731,0.0,0.0,289659,116.19606173047657,2797
ENSMUSG00000061808,Ttr,Gene Expression,0.7457998929350703,0.0,0.0,239013,47.201693728554595,2763
ENSMUSG00000032517,Mobp,Gene Expression,0.742625920757036,0.0,0.0,34242,15.469737937125691,2561
ENSMUSG00000024985,Tcf7l2,Gene Expression,0.7172918145265895,0.0,0.0,2968,1.1144431448839391,885
ENSMUSG00000018593,Sparc,Gene Expression,0.7146999020622862,0.0,0.0,20330,7.180413262019437,2527
ENSMUSG00000064179,Tnnt1,Gene Expression,0.7141264990906113,0.0,0.0,1745,0.7284096698311848,556
ENSMUSG00000090223,Pcp4,Gene Expression,0.6960170865881251,0.0,0.0,43692,15.568035670663258,2700
ENSMUSG00000059213,Ddn,Gene Expression,0.6884177160844804,0.0,0.0,11574,3.988410300505911,2186
ENSMUSG00000031425,Plp1,Gene Expression,0.6881434838845529,0.0,0.0,96938,43.77030544934137,2708
ENSMUSG00000045471,Hcrt,Gene Expression,0.687465639697906,0.0,0.0,4285,1.3268716078462521,512
ENSMUSG00000031980,Agt,Gene Expression,0.6836501956546355,0.0,0.0,6225,2.3335571426045205,1529
ENSMUSG00000022421,Nptxr,Gene Expression,0.6612568161886512,0.0,0.0,17013,5.262431319060701,2384
ENSMUSG00000005583,Mef2c,Gene Expression,0.6603128924838885,0.0,0.0,9544,2.9316869068836424,1947
ENSMUSG00000032554,Trf,Gene Expression,0.6578984645895279,0.0,0.0,15955,7.029558363169886,2361
ENSMUSG00000024617,Camk2a,Gene Expression,0.6483619300668846,0.0,0.0,16294,5.510767205141045,2409
ENSMUSG00000030701,Plekhb1,Gene Expression,0.6378640193772634,0.0,0.0,15404,6.6463100522811525,2536
ENSMUSG00000048644,Ctxn1,Gene Expression,0.637602445617554,0.0,0.0,19138,5.8812471538729305,2430
ENSMUSG00000026833,Olfm1,Gene Expression,0.6229992353560366,0.0,0.0,37237,11.570548363042096,2730
ENSMUSG00000027270,Lamp5,Gene Expression,0.6111918320158793,0.0,0.0,6004,1.802337174913248,1538
ENSMUSG00000038418,Egr1,Gene Expression,0.6088988948116562,0.0,0.0,8528,2.556948496495721,1913
ENSMUSG00000067786,Nnat,Gene Expression,0.604830431661278,0.0,0.0,12404,4.098663721848132,2128
ENSMUSG00000056486,Chn1,Gene Expression,0.6037888276200164,0.0,0.0,28292,8.705585937316966,2660
ENSMUSG00000041046,Ramp3,Gene Expression,0.6030301332085952,0.0,0.0,2468,0.9694042061488735,988
ENSMUSG00000006782,Cnp,Gene Expression,0.6030133584774815,0.0,0.0,17008,7.404986684696466,2484
ENSMUSG00000047507,Baiap3,Gene Expression,0.6012987996261997,0.0,0.0,2088,0.6198236222143796,678
ENSMUSG00000027273,Snap25,Gene Expression,0.5980771674905562,0.0,0.0,85128,27.141181782602057,2781
ENSMUSG00000007207,Stx1a,Gene Expression,0.5919998471346383,0.0,0.0,6931,2.1162616210024243,1849
ENSMUSG00000046093,Hpcal4,Gene Expression,0.583687701536109,0.0,0.0,11045,3.606527095681593,2271
ENSMUSG00000015806,Qdpr,Gene Expression,0.5825758081804001,0.0,0.0,14397,5.885306592635973,2567
